Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Github_oryx,CC,CBO,RFC
Run_2,Github_oryx,CC,CBO,RFC
Run_3,Github_oryx,CC,CBO,RFC
Run_4,Github_oryx,CBO,NOC,LOC
Run_5,Github_oryx,CBO,DIT,NPM
Run_6,Github_oryx,CC,CBO,NPM
Run_7,Github_oryx,CC,RFC,DIT
Run_8,Github_oryx,CBO,LOC,NPM
Run_9,Github_oryx,CC,CBO,NPM
Run_10,Github_oryx,CBO,NOC,NPM
Run_11,Github_oryx,CBO,RFC,DIT
Run_12,Github_oryx,CBO,LOC,NPM
Run_13,Github_oryx,CC,CBO,DIT
Run_14,Github_oryx,LCOM5,CBO,RFC
Run_15,Github_oryx,CBO,RFC,LOC
Run_16,Github_oryx,CC,CBO,NPM
Run_17,Github_oryx,CC,CBO,DIT
Run_18,Github_oryx,CBO,RFC,NPM
Run_19,Github_oryx,CBO,DIT,NPM
Run_20,Github_oryx,CBO,DIT,NPM
Run_21,Github_oryx,CBO,DIT,NPM
Run_22,Github_oryx,CBO,DIT,NPM
Run_23,Github_oryx,CBO,RFC,LOC
Run_24,Github_oryx,CBO,RFC,DIT
Run_25,Github_oryx,CBO,RFC,NOC
Run_26,Github_oryx,CBO,RFC,NPM
Run_27,Github_oryx,CC,CBO,DIT
Run_28,Github_oryx,CC,CBO,RFC
Run_29,Github_oryx,CBO,DIT,NOC
Run_30,Github_oryx,CC,CBO,RFC
