Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Github_oryx,DIT,CBO,RFC
Run_2,Github_oryx,DIT,CBO,RFC
Run_3,Github_oryx,DIT,CBO,LCOM5
Run_4,Github_oryx,DIT,CBO,RFC
Run_5,Github_oryx,DIT,CBO,LCOM5
Run_6,Github_oryx,DIT,CBO,LCOM5
Run_7,Github_oryx,DIT,CBO,RFC
Run_8,Github_oryx,DIT,CBO,RFC
Run_9,Github_oryx,DIT,CBO,RFC
Run_10,Github_oryx,DIT,CBO,RFC
Run_11,Github_oryx,DIT,CBO,RFC
Run_12,Github_oryx,DIT,CBO,RFC
Run_13,Github_oryx,DIT,CBO,RFC
Run_14,Github_oryx,DIT,CBO,RFC
Run_15,Github_oryx,DIT,CBO,RFC
Run_16,Github_oryx,DIT,CBO,RFC
Run_17,Github_oryx,DIT,CBO,RFC
Run_18,Github_oryx,DIT,CBO,LCOM5
Run_19,Github_oryx,DIT,CBO,RFC
Run_20,Github_oryx,DIT,CBO,RFC
Run_21,Github_oryx,DIT,CBO,CC
Run_22,Github_oryx,DIT,CBO,LCOM5
Run_23,Github_oryx,DIT,CBO,RFC
Run_24,Github_oryx,DIT,CBO,RFC
Run_25,Github_oryx,DIT,CBO,RFC
Run_26,Github_oryx,DIT,CBO,RFC
Run_27,Github_oryx,DIT,CBO,RFC
Run_28,Github_oryx,DIT,CBO,RFC
Run_29,Github_oryx,DIT,CBO,RFC
Run_30,Github_oryx,DIT,CBO,RFC
