Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Github_titan,DIT,WMC,CC
Run_2,Github_titan,DIT,WMC,CC
Run_3,Github_titan,DIT,WMC,CC
Run_4,Github_titan,DIT,CC,WMC
Run_5,Github_titan,DIT,WMC,CC
Run_6,Github_titan,DIT,WMC,CC
Run_7,Github_titan,DIT,WMC,CC
Run_8,Github_titan,DIT,WMC,CC
Run_9,Github_titan,DIT,CC,WMC
Run_10,Github_titan,DIT,CC,WMC
Run_11,Github_titan,DIT,CC,CBO
Run_12,Github_titan,DIT,CC,WMC
Run_13,Github_titan,DIT,CC,WMC
Run_14,Github_titan,DIT,CC,WMC
Run_15,Github_titan,DIT,CC,WMC
Run_16,Github_titan,DIT,CC,WMC
Run_17,Github_titan,DIT,CC,WMC
Run_18,Github_titan,DIT,CC,WMC
Run_19,Github_titan,DIT,CC,WMC
Run_20,Github_titan,DIT,CC,WMC
Run_21,Github_titan,DIT,CC,WMC
Run_22,Github_titan,DIT,CC,CBO
Run_23,Github_titan,DIT,WMC,CC
Run_24,Github_titan,DIT,CC,WMC
Run_25,Github_titan,DIT,WMC,CC
Run_26,Github_titan,DIT,CC,WMC
Run_27,Github_titan,DIT,WMC,CC
Run_28,Github_titan,DIT,WMC,CC
Run_29,Github_titan,DIT,CC,WMC
Run_30,Github_titan,DIT,CC,WMC
