Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Promise_camel16,WMC,LOC,NPM
Run_2,Promise_camel16,LCOM5,LOC,NPM
Run_3,Promise_camel16,RFC,LOC,NPM
Run_4,Promise_camel16,WMC,LOC,NPM
Run_5,Promise_camel16,RFC,LOC,NPM
Run_6,Promise_camel16,DIT,LOC,NPM
Run_7,Promise_camel16,RFC,LOC,NPM
Run_8,Promise_camel16,NOC,LOC,NPM
Run_9,Promise_camel16,WMC,LOC,NPM
Run_10,Promise_camel16,CBO,LOC,NPM
Run_11,Promise_camel16,WMC,RFC,LOC
Run_12,Promise_camel16,RFC,LOC,NPM
Run_13,Promise_camel16,CBO,LOC,NPM
Run_14,Promise_camel16,WMC,LOC,NPM
Run_15,Promise_camel16,DIT,LOC,NPM
Run_16,Promise_camel16,WMC,DIT,LOC
Run_17,Promise_camel16,CBO,RFC,NPM
Run_18,Promise_camel16,DIT,NOC,LOC
Run_19,Promise_camel16,RFC,LOC,NPM
Run_20,Promise_camel16,LCOM5,DIT,LOC
Run_21,Promise_camel16,WMC,LOC,NPM
Run_22,Promise_camel16,RFC,NOC,LOC
Run_23,Promise_camel16,CBO,RFC,LOC
Run_24,Promise_camel16,RFC,LOC,NPM
Run_25,Promise_camel16,LCOM5,NOC,NPM
Run_26,Promise_camel16,DIT,LOC,NPM
Run_27,Promise_camel16,RFC,LOC,NPM
Run_28,Promise_camel16,RFC,LOC,NPM
Run_29,Promise_camel16,CC,RFC,LOC
Run_30,Promise_camel16,CC,LOC,NPM
