Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Promise_ckjm18,NPM,LOC,RFC
Run_2,Promise_ckjm18,LOC,WMC,RFC
Run_3,Promise_ckjm18,NPM,LOC,RFC
Run_4,Promise_ckjm18,LOC,WMC,RFC
Run_5,Promise_ckjm18,NPM,LOC,RFC
Run_6,Promise_ckjm18,NPM,LOC,RFC
Run_7,Promise_ckjm18,LOC,WMC,RFC
Run_8,Promise_ckjm18,NPM,LOC,RFC
Run_9,Promise_ckjm18,LOC,WMC,RFC
Run_10,Promise_ckjm18,LOC,WMC,RFC
Run_11,Promise_ckjm18,NPM,LOC,RFC
Run_12,Promise_ckjm18,NPM,LOC,RFC
Run_13,Promise_ckjm18,NPM,LOC,RFC
Run_14,Promise_ckjm18,LOC,WMC,RFC
Run_15,Promise_ckjm18,NPM,LOC,RFC
Run_16,Promise_ckjm18,LOC,WMC,RFC
Run_17,Promise_ckjm18,CBO,WMC,LOC
Run_18,Promise_ckjm18,NPM,LOC,RFC
Run_19,Promise_ckjm18,NPM,LOC,RFC
Run_20,Promise_ckjm18,NPM,LOC,RFC
Run_21,Promise_ckjm18,CBO,NPM,LOC
Run_22,Promise_ckjm18,NPM,LOC,RFC
Run_23,Promise_ckjm18,CBO,WMC,LOC
Run_24,Promise_ckjm18,LOC,WMC,RFC
Run_25,Promise_ckjm18,NPM,LOC,RFC
Run_26,Promise_ckjm18,LOC,WMC,RFC
Run_27,Promise_ckjm18,NPM,LOC,RFC
Run_28,Promise_ckjm18,NPM,LOC,RFC
Run_29,Promise_ckjm18,NPM,LOC,RFC
Run_30,Promise_ckjm18,LOC,WMC,RFC
