Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Promise_forrest08,NOC,LOC,NPM
Run_2,Promise_forrest08,NOC,LOC,NPM
Run_3,Promise_forrest08,NOC,LOC,NPM
Run_4,Promise_forrest08,NOC,LOC,NPM
Run_5,Promise_forrest08,NOC,LOC,NPM
Run_6,Promise_forrest08,CC,LOC,NPM
Run_7,Promise_forrest08,LCOM5,CBO,NPM
Run_8,Promise_forrest08,NOC,LOC,NPM
Run_9,Promise_forrest08,DIT,LOC,NPM
Run_10,Promise_forrest08,DIT,LOC,NPM
Run_11,Promise_forrest08,LCOM5,DIT,NPM
Run_12,Promise_forrest08,NOC,LOC,NPM
Run_13,Promise_forrest08,NOC,LOC,NPM
Run_14,Promise_forrest08,DIT,LOC,NPM
Run_15,Promise_forrest08,DIT,NOC,NPM
Run_16,Promise_forrest08,NOC,LOC,NPM
Run_17,Promise_forrest08,CBO,DIT,NPM
Run_18,Promise_forrest08,DIT,NOC,NPM
Run_19,Promise_forrest08,LCOM5,CBO,NPM
Run_20,Promise_forrest08,DIT,NOC,NPM
Run_21,Promise_forrest08,DIT,LOC,NPM
Run_22,Promise_forrest08,LCOM5,CBO,DIT
Run_23,Promise_forrest08,CBO,DIT,NPM
Run_24,Promise_forrest08,NOC,LOC,NPM
Run_25,Promise_forrest08,DIT,LOC,NPM
Run_26,Promise_forrest08,CBO,DIT,NPM
Run_27,Promise_forrest08,NOC,LOC,NPM
Run_28,Promise_forrest08,CBO,DIT,NPM
Run_29,Promise_forrest08,CBO,NOC,NPM
Run_30,Promise_forrest08,CBO,LOC,NPM
