Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Promise_jedit43,CC,CBO,DIT
Run_2,Promise_jedit43,CC,CBO,LOC
Run_3,Promise_jedit43,CC,WMC,LOC
Run_4,Promise_jedit43,CC,RFC,LOC
Run_5,Promise_jedit43,CC,RFC,LOC
Run_6,Promise_jedit43,CC,CBO,NOC
Run_7,Promise_jedit43,CC,RFC,NOC
Run_8,Promise_jedit43,CC,CBO,DIT
Run_9,Promise_jedit43,CC,CBO,DIT
Run_10,Promise_jedit43,CC,CBO,LOC
Run_11,Promise_jedit43,CC,DIT,NPM
Run_12,Promise_jedit43,CC,RFC,NOC
Run_13,Promise_jedit43,CC,DIT,NOC
Run_14,Promise_jedit43,CC,RFC,LOC
Run_15,Promise_jedit43,CC,NOC,LOC
Run_16,Promise_jedit43,CC,CBO,LOC
Run_17,Promise_jedit43,CC,CBO,NPM
Run_18,Promise_jedit43,CC,NOC,LOC
Run_19,Promise_jedit43,CC,CBO,DIT
Run_20,Promise_jedit43,DIT,NOC,LOC
Run_21,Promise_jedit43,CC,CBO,DIT
Run_22,Promise_jedit43,CBO,NOC,LOC
Run_23,Promise_jedit43,CC,DIT,NOC
Run_24,Promise_jedit43,CC,CBO,DIT
Run_25,Promise_jedit43,CC,RFC,LOC
Run_26,Promise_jedit43,CC,CBO,LOC
Run_27,Promise_jedit43,CC,RFC,DIT
Run_28,Promise_jedit43,CC,CBO,DIT
Run_29,Promise_jedit43,CC,DIT,NOC
Run_30,Promise_jedit43,CC,NOC,NPM
