Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Promise_jedit43,DIT,CBO,CC
Run_2,Promise_jedit43,DIT,CC,CBO
Run_3,Promise_jedit43,DIT,CC,CBO
Run_4,Promise_jedit43,DIT,CC,RFC
Run_5,Promise_jedit43,DIT,CBO,RFC
Run_6,Promise_jedit43,DIT,CBO,RFC
Run_7,Promise_jedit43,DIT,CBO,RFC
Run_8,Promise_jedit43,DIT,CBO,RFC
Run_9,Promise_jedit43,DIT,CBO,CC
Run_10,Promise_jedit43,DIT,CC,RFC
Run_11,Promise_jedit43,DIT,CBO,RFC
Run_12,Promise_jedit43,DIT,CBO,RFC
Run_13,Promise_jedit43,DIT,RFC,LOC
Run_14,Promise_jedit43,DIT,CC,LOC
Run_15,Promise_jedit43,DIT,CBO,RFC
Run_16,Promise_jedit43,DIT,RFC,LOC
Run_17,Promise_jedit43,DIT,RFC,LOC
Run_18,Promise_jedit43,DIT,CBO,RFC
Run_19,Promise_jedit43,DIT,CBO,CC
Run_20,Promise_jedit43,DIT,CBO,LOC
Run_21,Promise_jedit43,DIT,CBO,CC
Run_22,Promise_jedit43,DIT,LOC,RFC
Run_23,Promise_jedit43,DIT,RFC,LOC
Run_24,Promise_jedit43,DIT,RFC,LOC
Run_25,Promise_jedit43,DIT,CC,CBO
Run_26,Promise_jedit43,DIT,CC,CBO
Run_27,Promise_jedit43,DIT,CBO,LOC
Run_28,Promise_jedit43,DIT,CBO,CC
Run_29,Promise_jedit43,DIT,CBO,RFC
Run_30,Promise_jedit43,DIT,CBO,RFC
