Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Promise_log4j,WMC,RFC,LOC
Run_2,Promise_log4j,WMC,RFC,LOC
Run_3,Promise_log4j,WMC,RFC,LOC
Run_4,Promise_log4j,WMC,RFC,LOC
Run_5,Promise_log4j,WMC,RFC,LOC
Run_6,Promise_log4j,WMC,RFC,LOC
Run_7,Promise_log4j,RFC,LOC,NPM
Run_8,Promise_log4j,WMC,RFC,LOC
Run_9,Promise_log4j,WMC,RFC,LOC
Run_10,Promise_log4j,WMC,RFC,LOC
Run_11,Promise_log4j,WMC,RFC,LOC
Run_12,Promise_log4j,WMC,RFC,LOC
Run_13,Promise_log4j,WMC,RFC,LOC
Run_14,Promise_log4j,WMC,RFC,LOC
Run_15,Promise_log4j,WMC,RFC,LOC
Run_16,Promise_log4j,WMC,RFC,LOC
Run_17,Promise_log4j,WMC,RFC,LOC
Run_18,Promise_log4j,WMC,LOC,NPM
Run_19,Promise_log4j,WMC,RFC,LOC
Run_20,Promise_log4j,WMC,RFC,LOC
Run_21,Promise_log4j,WMC,LOC,NPM
Run_22,Promise_log4j,WMC,RFC,LOC
Run_23,Promise_log4j,WMC,LOC,NPM
Run_24,Promise_log4j,RFC,LOC,NPM
Run_25,Promise_log4j,WMC,RFC,LOC
Run_26,Promise_log4j,WMC,RFC,LOC
Run_27,Promise_log4j,WMC,RFC,LOC
Run_28,Promise_log4j,WMC,RFC,LOC
Run_29,Promise_log4j,WMC,LOC,NPM
Run_30,Promise_log4j,WMC,RFC,LOC
