Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Promise_log4j,DIT,NPM,LCOM5
Run_2,Promise_log4j,DIT,NPM,LCOM5
Run_3,Promise_log4j,DIT,NPM,LCOM5
Run_4,Promise_log4j,DIT,NPM,RFC
Run_5,Promise_log4j,DIT,NPM,LCOM5
Run_6,Promise_log4j,DIT,NPM,LCOM5
Run_7,Promise_log4j,DIT,LCOM5,RFC
Run_8,Promise_log4j,DIT,NPM,LCOM5
Run_9,Promise_log4j,DIT,NPM,RFC
Run_10,Promise_log4j,DIT,NPM,RFC
Run_11,Promise_log4j,DIT,NPM,RFC
Run_12,Promise_log4j,DIT,NPM,LCOM5
Run_13,Promise_log4j,DIT,NPM,LCOM5
Run_14,Promise_log4j,DIT,NPM,LCOM5
Run_15,Promise_log4j,DIT,NPM,RFC
Run_16,Promise_log4j,DIT,NPM,LCOM5
Run_17,Promise_log4j,DIT,NPM,LCOM5
Run_18,Promise_log4j,DIT,RFC,LCOM5
Run_19,Promise_log4j,DIT,NPM,LCOM5
Run_20,Promise_log4j,DIT,NPM,LCOM5
Run_21,Promise_log4j,DIT,LCOM5,RFC
Run_22,Promise_log4j,DIT,NPM,LCOM5
Run_23,Promise_log4j,DIT,LCOM5,NPM
Run_24,Promise_log4j,DIT,LCOM5,NPM
Run_25,Promise_log4j,DIT,NPM,LCOM5
Run_26,Promise_log4j,DIT,NPM,LCOM5
Run_27,Promise_log4j,DIT,NPM,LCOM5
Run_28,Promise_log4j,DIT,NPM,LCOM5
Run_29,Promise_log4j,DIT,LCOM5,NPM
Run_30,Promise_log4j,DIT,NPM,LCOM5
