Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Promise_lucene24,LCOM5,WMC,CBO
Run_2,Promise_lucene24,LCOM5,WMC,CBO
Run_3,Promise_lucene24,LCOM5,WMC,CBO
Run_4,Promise_lucene24,LCOM5,WMC,CBO
Run_5,Promise_lucene24,LCOM5,WMC,CBO
Run_6,Promise_lucene24,CC,LCOM5,WMC
Run_7,Promise_lucene24,LCOM5,WMC,CBO
Run_8,Promise_lucene24,LCOM5,WMC,CBO
Run_9,Promise_lucene24,LCOM5,WMC,CBO
Run_10,Promise_lucene24,CC,LCOM5,WMC
Run_11,Promise_lucene24,LCOM5,WMC,CBO
Run_12,Promise_lucene24,LCOM5,WMC,CBO
Run_13,Promise_lucene24,LCOM5,WMC,CBO
Run_14,Promise_lucene24,CC,LCOM5,WMC
Run_15,Promise_lucene24,LCOM5,WMC,CBO
Run_16,Promise_lucene24,CC,LCOM5,WMC
Run_17,Promise_lucene24,CC,LCOM5,WMC
Run_18,Promise_lucene24,CC,LCOM5,WMC
Run_19,Promise_lucene24,LCOM5,WMC,CBO
Run_20,Promise_lucene24,CC,LCOM5,WMC
Run_21,Promise_lucene24,LCOM5,WMC,CBO
Run_22,Promise_lucene24,LCOM5,WMC,CBO
Run_23,Promise_lucene24,LCOM5,WMC,CBO
Run_24,Promise_lucene24,LCOM5,WMC,CBO
Run_25,Promise_lucene24,LCOM5,WMC,CBO
Run_26,Promise_lucene24,LCOM5,WMC,CBO
Run_27,Promise_lucene24,CC,LCOM5,WMC
Run_28,Promise_lucene24,LCOM5,WMC,CBO
Run_29,Promise_lucene24,LCOM5,WMC,CBO
Run_30,Promise_lucene24,CC,LCOM5,WMC
