Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Promise_lucene24,LCOM5,RFC,NPM
Run_2,Promise_lucene24,LCOM5,WMC,CBO
Run_3,Promise_lucene24,CBO,RFC,NPM
Run_4,Promise_lucene24,WMC,RFC,LOC
Run_5,Promise_lucene24,RFC,LOC,NPM
Run_6,Promise_lucene24,RFC,LOC,NPM
Run_7,Promise_lucene24,CC,WMC,RFC
Run_8,Promise_lucene24,CC,LOC,NPM
Run_9,Promise_lucene24,CBO,RFC,NPM
Run_10,Promise_lucene24,WMC,CBO,RFC
Run_11,Promise_lucene24,WMC,CBO,NPM
Run_12,Promise_lucene24,LCOM5,RFC,LOC
Run_13,Promise_lucene24,WMC,RFC,NPM
Run_14,Promise_lucene24,CBO,RFC,LOC
Run_15,Promise_lucene24,WMC,RFC,LOC
Run_16,Promise_lucene24,CBO,RFC,LOC
Run_17,Promise_lucene24,CBO,RFC,LOC
Run_18,Promise_lucene24,CC,RFC,NPM
Run_19,Promise_lucene24,WMC,CBO,RFC
Run_20,Promise_lucene24,CBO,RFC,LOC
Run_21,Promise_lucene24,CBO,DIT,NPM
Run_22,Promise_lucene24,LCOM5,CBO,LOC
Run_23,Promise_lucene24,WMC,RFC,NPM
Run_24,Promise_lucene24,WMC,CBO,RFC
Run_25,Promise_lucene24,CC,RFC,LOC
Run_26,Promise_lucene24,CBO,RFC,LOC
Run_27,Promise_lucene24,RFC,NOC,LOC
Run_28,Promise_lucene24,WMC,RFC,NPM
Run_29,Promise_lucene24,LCOM5,CBO,NPM
Run_30,Promise_lucene24,WMC,RFC,LOC
