Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Promise_lucene24,LCOM5,DIT,RFC
Run_2,Promise_lucene24,LCOM5,DIT,RFC
Run_3,Promise_lucene24,LCOM5,DIT,RFC
Run_4,Promise_lucene24,LCOM5,NPM,RFC
Run_5,Promise_lucene24,LCOM5,DIT,NPM
Run_6,Promise_lucene24,LCOM5,RFC,LOC
Run_7,Promise_lucene24,LCOM5,DIT,RFC
Run_8,Promise_lucene24,LCOM5,RFC,DIT
Run_9,Promise_lucene24,RFC,DIT,LCOM5
Run_10,Promise_lucene24,LCOM5,DIT,NPM
Run_11,Promise_lucene24,LCOM5,DIT,CBO
Run_12,Promise_lucene24,LCOM5,RFC,DIT
Run_13,Promise_lucene24,LCOM5,DIT,RFC
Run_14,Promise_lucene24,LCOM5,NPM,RFC
Run_15,Promise_lucene24,LCOM5,DIT,NPM
Run_16,Promise_lucene24,LCOM5,DIT,RFC
Run_17,Promise_lucene24,LCOM5,RFC,DIT
Run_18,Promise_lucene24,LCOM5,NPM,DIT
Run_19,Promise_lucene24,LCOM5,DIT,RFC
Run_20,Promise_lucene24,LCOM5,DIT,NPM
Run_21,Promise_lucene24,LCOM5,RFC,DIT
Run_22,Promise_lucene24,RFC,LCOM5,LOC
Run_23,Promise_lucene24,LCOM5,RFC,LOC
Run_24,Promise_lucene24,LCOM5,DIT,NPM
Run_25,Promise_lucene24,LCOM5,RFC,DIT
Run_26,Promise_lucene24,LCOM5,DIT,RFC
Run_27,Promise_lucene24,LCOM5,DIT,RFC
Run_28,Promise_lucene24,LCOM5,DIT,NPM
Run_29,Promise_lucene24,LCOM5,DIT,NPM
Run_30,Promise_lucene24,LCOM5,RFC,DIT
