Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Promise_pbeans2,LCOM5,WMC,RFC
Run_2,Promise_pbeans2,WMC,CBO,RFC
Run_3,Promise_pbeans2,LCOM5,WMC,RFC
Run_4,Promise_pbeans2,LCOM5,WMC,DIT
Run_5,Promise_pbeans2,LCOM5,WMC,RFC
Run_6,Promise_pbeans2,WMC,CBO,RFC
Run_7,Promise_pbeans2,LCOM5,WMC,RFC
Run_8,Promise_pbeans2,LCOM5,WMC,RFC
Run_9,Promise_pbeans2,LCOM5,WMC,CBO
Run_10,Promise_pbeans2,WMC,CBO,RFC
Run_11,Promise_pbeans2,LCOM5,WMC,CBO
Run_12,Promise_pbeans2,LCOM5,WMC,CBO
Run_13,Promise_pbeans2,WMC,RFC,DIT
Run_14,Promise_pbeans2,WMC,CBO,RFC
Run_15,Promise_pbeans2,LCOM5,WMC,RFC
Run_16,Promise_pbeans2,WMC,RFC,DIT
Run_17,Promise_pbeans2,WMC,RFC,DIT
Run_18,Promise_pbeans2,LCOM5,WMC,CBO
Run_19,Promise_pbeans2,LCOM5,WMC,CBO
Run_20,Promise_pbeans2,LCOM5,WMC,RFC
Run_21,Promise_pbeans2,CBO,RFC,DIT
Run_22,Promise_pbeans2,LCOM5,WMC,CBO
Run_23,Promise_pbeans2,LCOM5,RFC,DIT
Run_24,Promise_pbeans2,WMC,RFC,DIT
Run_25,Promise_pbeans2,WMC,CBO,RFC
Run_26,Promise_pbeans2,WMC,CBO,RFC
Run_27,Promise_pbeans2,LCOM5,WMC,CBO
Run_28,Promise_pbeans2,LCOM5,WMC,CBO
Run_29,Promise_pbeans2,LCOM5,WMC,CBO
Run_30,Promise_pbeans2,WMC,CBO,DIT
