Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Promise_pbeans2,WMC,DIT,LOC
Run_2,Promise_pbeans2,WMC,LOC,NPM
Run_3,Promise_pbeans2,LCOM5,LOC,NPM
Run_4,Promise_pbeans2,CC,DIT,NPM
Run_5,Promise_pbeans2,CBO,LOC,NPM
Run_6,Promise_pbeans2,WMC,CBO,NPM
Run_7,Promise_pbeans2,LCOM5,DIT,LOC
Run_8,Promise_pbeans2,LCOM5,LOC,NPM
Run_9,Promise_pbeans2,LCOM5,CBO,LOC
Run_10,Promise_pbeans2,WMC,RFC,LOC
Run_11,Promise_pbeans2,LCOM5,LOC,NPM
Run_12,Promise_pbeans2,RFC,LOC,NPM
Run_13,Promise_pbeans2,LCOM5,DIT,NPM
Run_14,Promise_pbeans2,CBO,RFC,LOC
Run_15,Promise_pbeans2,LCOM5,RFC,NPM
Run_16,Promise_pbeans2,RFC,LOC,NPM
Run_17,Promise_pbeans2,WMC,DIT,LOC
Run_18,Promise_pbeans2,CC,DIT,NPM
Run_19,Promise_pbeans2,LCOM5,WMC,LOC
Run_20,Promise_pbeans2,WMC,LOC,NPM
Run_21,Promise_pbeans2,WMC,RFC,LOC
Run_22,Promise_pbeans2,CC,LCOM5,LOC
Run_23,Promise_pbeans2,LCOM5,CBO,LOC
Run_24,Promise_pbeans2,CC,LCOM5,DIT
Run_25,Promise_pbeans2,WMC,LOC,NPM
Run_26,Promise_pbeans2,CC,LOC,NPM
Run_27,Promise_pbeans2,CBO,LOC,NPM
Run_28,Promise_pbeans2,LCOM5,WMC,LOC
Run_29,Promise_pbeans2,NOC,LOC,NPM
Run_30,Promise_pbeans2,RFC,LOC,NPM
