Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Promise_pbeans2,WMC,LOC,RFC
Run_2,Promise_pbeans2,WMC,NPM,CBO
Run_3,Promise_pbeans2,LOC,RFC,WMC
Run_4,Promise_pbeans2,WMC,NPM,LOC
Run_5,Promise_pbeans2,CBO,WMC,LOC
Run_6,Promise_pbeans2,WMC,CBO,LOC
Run_7,Promise_pbeans2,WMC,LCOM5,LOC
Run_8,Promise_pbeans2,RFC,LOC,NPM
Run_9,Promise_pbeans2,WMC,RFC,LCOM5
Run_10,Promise_pbeans2,NPM,WMC,CBO
Run_11,Promise_pbeans2,LCOM5,WMC,LOC
Run_12,Promise_pbeans2,NPM,WMC,LCOM5
Run_13,Promise_pbeans2,WMC,LOC,NPM
Run_14,Promise_pbeans2,NPM,WMC,CBO
Run_15,Promise_pbeans2,NPM,RFC,WMC
Run_16,Promise_pbeans2,WMC,NPM,NOC
Run_17,Promise_pbeans2,WMC,LOC,RFC
Run_18,Promise_pbeans2,RFC,LOC,NPM
Run_19,Promise_pbeans2,RFC,NPM,LOC
Run_20,Promise_pbeans2,WMC,NPM,NOC
Run_21,Promise_pbeans2,NPM,LCOM5,CBO
Run_22,Promise_pbeans2,RFC,LOC,NPM
Run_23,Promise_pbeans2,WMC,CBO,NPM
Run_24,Promise_pbeans2,WMC,LCOM5,CBO
Run_25,Promise_pbeans2,NPM,WMC,CBO
Run_26,Promise_pbeans2,LOC,RFC,CBO
Run_27,Promise_pbeans2,RFC,NOC,LOC
Run_28,Promise_pbeans2,WMC,LOC,RFC
Run_29,Promise_pbeans2,WMC,NPM,LOC
Run_30,Promise_pbeans2,WMC,NPM,CBO
