Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Promise_synapse12,CC,WMC,LOC
Run_2,Promise_synapse12,CC,LCOM5,LOC
Run_3,Promise_synapse12,WMC,RFC,LOC
Run_4,Promise_synapse12,CC,LOC,NPM
Run_5,Promise_synapse12,CC,CBO,LOC
Run_6,Promise_synapse12,CC,LCOM5,LOC
Run_7,Promise_synapse12,WMC,LOC,NPM
Run_8,Promise_synapse12,CC,WMC,LOC
Run_9,Promise_synapse12,CC,WMC,LOC
Run_10,Promise_synapse12,CC,WMC,LOC
Run_11,Promise_synapse12,CC,WMC,LOC
Run_12,Promise_synapse12,CC,WMC,LOC
Run_13,Promise_synapse12,CC,WMC,LOC
Run_14,Promise_synapse12,WMC,LOC,NPM
Run_15,Promise_synapse12,WMC,LOC,NPM
Run_16,Promise_synapse12,WMC,DIT,LOC
Run_17,Promise_synapse12,WMC,LOC,NPM
Run_18,Promise_synapse12,CC,WMC,LOC
Run_19,Promise_synapse12,CC,DIT,LOC
Run_20,Promise_synapse12,CC,WMC,LOC
Run_21,Promise_synapse12,CC,LOC,NPM
Run_22,Promise_synapse12,CC,LOC,NPM
Run_23,Promise_synapse12,WMC,LOC,NPM
Run_24,Promise_synapse12,CBO,LOC,NPM
Run_25,Promise_synapse12,LCOM5,WMC,LOC
Run_26,Promise_synapse12,WMC,LOC,NPM
Run_27,Promise_synapse12,CC,LOC,NPM
Run_28,Promise_synapse12,CC,LCOM5,LOC
Run_29,Promise_synapse12,WMC,LOC,NPM
Run_30,Promise_synapse12,CC,WMC,LOC
