Run,Project,Feature_1,Feature_2,Feature_3
Run_1,Promise_synapse12,LOC,WMC,RFC
Run_2,Promise_synapse12,LOC,WMC,NPM
Run_3,Promise_synapse12,LOC,WMC,RFC
Run_4,Promise_synapse12,LOC,WMC,RFC
Run_5,Promise_synapse12,LOC,WMC,RFC
Run_6,Promise_synapse12,LOC,NPM,WMC
Run_7,Promise_synapse12,LOC,WMC,RFC
Run_8,Promise_synapse12,LOC,WMC,RFC
Run_9,Promise_synapse12,LOC,WMC,RFC
Run_10,Promise_synapse12,LOC,WMC,RFC
Run_11,Promise_synapse12,LOC,WMC,RFC
Run_12,Promise_synapse12,LOC,WMC,NPM
Run_13,Promise_synapse12,LOC,WMC,RFC
Run_14,Promise_synapse12,LOC,WMC,NPM
Run_15,Promise_synapse12,LOC,WMC,RFC
Run_16,Promise_synapse12,LOC,WMC,NPM
Run_17,Promise_synapse12,LOC,WMC,NPM
Run_18,Promise_synapse12,LOC,WMC,RFC
Run_19,Promise_synapse12,LOC,WMC,NPM
Run_20,Promise_synapse12,LOC,WMC,NPM
Run_21,Promise_synapse12,LOC,WMC,NPM
Run_22,Promise_synapse12,LOC,WMC,NPM
Run_23,Promise_synapse12,LOC,WMC,RFC
Run_24,Promise_synapse12,LOC,WMC,RFC
Run_25,Promise_synapse12,LOC,WMC,RFC
Run_26,Promise_synapse12,LOC,WMC,NPM
Run_27,Promise_synapse12,LOC,WMC,RFC
Run_28,Promise_synapse12,LOC,WMC,RFC
Run_29,Promise_synapse12,LOC,WMC,RFC
Run_30,Promise_synapse12,LOC,NPM,WMC
