,Chi2,MutualInfo,ReliefF,Lasso
f1,0.121,0.037,0.326,0.411
f1v,0.146,0.185,0.42,0.336
f2,0.275,0.06,0.114,0.285
f3,0.389,-0.08,0.576,0.693
f4,0.487,-0.121,0.63,0.826
l1,0.361,0.144,0.313,0.362
l2,0.309,0.153,0.31,0.29
l3,0.407,0.19,0.379,0.316
n1,-0.005,0.017,-0.033,-0.225
n2,-0.149,-0.056,0.055,0.161
n3,-0.22,0.052,-0.154,-0.494
n4,0.044,0.15,0.189,-0.144
t1,0.046,-0.012,0.114,-0.109
lsc,0.3,0.046,0.575,0.568
density,-0.279,0.379,-0.219,-0.567
clsCoef,-0.573,0.192,-0.416,-0.855
hubs,-0.366,0.351,-0.233,-0.652
t2,-0.584,0.051,-0.408,-0.868
t3,-0.582,0.049,-0.412,-0.867
t4,0.083,-0.028,-0.11,0.135
c1,-0.038,-0.13,-0.123,0.124
c2,0.039,-0.112,-0.077,0.214
score,0.101,0.23,0.445,0.259
