Project,Chi2,MutualInfo,ReliefF,Lasso
BugPrediction_Eclipse,1.0,0.3736,0.795,1.0
BugPrediction_Equinox,1.0,0.8372,0.4425,1.0
BugPrediction_lucene,0.6379,0.3429,0.5421,0.8008
BugPrediction_Mylyn,1.0,0.4195,0.4732,1.0
BugPrediction_PDE,1.0,0.2625,0.6801,1.0
Github_Android,0.5594,0.1092,0.3506,0.7529
Github_antlr4,1.0,0.3659,0.841,1.0
Github_BroadleafCommerce,1.0,0.9444,1.0,1.0
Github_ceylon,1.0,0.2778,0.4732,0.8927
Github_Elasticsearch,1.0,0.4655,1.0,1.0
Github_hazelcast,1.0,0.1858,1.0,1.0
Github_JUnit,0.8927,0.4387,0.1284,1.0
Github_mapdb,0.8927,0.295,0.8372,1.0
Github_mcMMO,1.0,0.1858,0.1801,1.0
Github_mct17,0.9444,0.1648,0.0881,0.795
Github_Neo4j,0.8008,0.4272,0.9444,1.0
Github_Netty,1.0,0.4904,1.0,1.0
Github_orientdb,1.0,0.3295,1.0,1.0
Github_oryx,0.7605,0.4866,1.0,1.0
Github_titan,0.8008,0.5498,0.5651,1.0
Promise_ant14,1.0,0.4789,0.5192,1.0
Promise_camel16,1.0,0.3525,0.8908,1.0
Promise_ckjm18,0.5172,0.3812,0.1705,0.1973
Promise_forrest08,0.6226,1.0,0.1169,0.4387
Promise_ivy20,0.8927,0.5766,0.3448,0.9444
Promise_jedit43,0.8448,0.1782,0.9444,0.9444
Promise_log4j,0.5479,0.6207,0.3659,0.6226
Promise_lucene24,1.0,0.2969,0.7605,0.9444
Promise_pbeans2,1.0,0.2471,0.0268,0.5881
Promise_poi30,0.7605,0.3774,0.8927,0.841
Promise_synapse12,1.0,0.2433,0.8372,0.8927
Promise_velocity16,0.8927,0.6494,0.9444,0.9444
Promise_xalan27,1.0,0.4119,0.6341,0.5843
Promise_xerces,1.0,0.6609,0.9444,1.0
