Project,Chi2,MutualInfo,ReliefF,Lasso,bug_rate
BugPrediction_Eclipse,1,0.3736,0.795,1,20.66
BugPrediction_Equinox,1,0.8372,0.4425,1,39.5
BugPrediction_lucene,0.6379,0.3429,0.5421,0.8008,9.4
BugPrediction_Mylyn,1,0.4195,0.4732,1,14.88
BugPrediction_PDE,1,0.2625,0.6801,1,13.95
Github_Android,0.5594,0.1092,0.3506,0.7529,27.4
Github_antlr4,1,0.3659,0.841,1,4.38
Github_BroadleafCommerce,1,0.9444,1,1,18.33
Github_ceylon,1,0.2778,0.4732,0.8927,4.22
Github_Elasticsearch,1,0.4655,1,1,11.48
Github_hazelcast,1,0.1858,1,1,11.14
Github_JUnit,0.8927,0.4387,0.1284,1,4.79
Github_mapdb,0.8927,0.295,0.8372,1,12.08
Github_mcMMO,1,0.1858,0.1801,1,18.94
Github_mct17,0.9444,0.1648,0.0881,0.795,0.48
Github_Neo4j,0.8008,0.4272,0.9444,1,0.98
Github_Netty,1,0.4904,1,1,23.71
Github_orientdb,1,0.3295,1,1,15.16
Github_oryx,0.7605,0.4866,1,1,13.88
Github_titan,0.8008,0.5498,0.5651,1,6.54
Promise_ant14,1,0.4789,0.5192,1,22.28
Promise_camel16,1,0.3525,0.8908,1,20.28
Promise_ckjm18,0.5172,0.3812,0.1705,0.1973,55.56
Promise_forrest08,0.6226,1,0.1169,0.4387,6.25
Promise_ivy20,0.8927,0.5766,0.3448,0.9444,11.36
Promise_jedit43,0.8448,0.1782,0.9444,0.9444,2.24
Promise_log4j,0.5479,0.6207,0.3659,0.6226,92.2
Promise_lucene24,1,0.2969,0.7605,0.9444,59.88
Promise_pbeans2,1,0.2471,0.0268,0.5881,19.61
Promise_poi30,0.7605,0.3774,0.8927,0.841,63.57
Promise_synapse12,1,0.2433,0.8372,0.8927,33.59
Promise_velocity16,0.8927,0.6494,0.9444,0.9444,34.21
Promise_xalan27,1,0.4119,0.6341,0.5843,98.79
Promise_xerces,1,0.6609,0.9444,1,72.53
,0.893164706,0.424326471,0.639223529,0.887755882,
